Año,Computadora,Internet,Televisión,Cable,Teléfono
2001,11.7772000635,6.2120867915,91.89707814,13.5299829703,40.3315147861
2002,15.2075733007,7.4550984244,93.5924128916,15.3758041305,45.3580144241
2004,18.0017233738,8.6924146409,91.6894879,19.3303988503,24.7407635479
2005,18.5589319688,9.0022059166,92.8164961343,19.5084162517,22.2640854667
2006,20.6229654683,10.1324028261,93.36083365,21.0455685896,19.4586747354
2007,22.1230875549,12.0045349698,93.2971325214,24.6979714372,18.5596313835
2008,25.652782235,13.5043040342,93.170652662,23.9018950305,14.4764352528
2009,26.7570163231,18.3609059349,95.091877031,27.2007786454,9.9673563141
2010,29.7911001576,22.1890791403,94.6666175124,26.6662774306,9.2487860772
2011,30.0363271932,23.2656821198,94.7060653923,30.3530488283,8.0778186587
2012,32.1947170808,25.968845652,94.9460605069,32.2391834527,7.2606138873
2013,35.7928577436,30.743459463,94.8768869853,36.7301099546,6.4038952823
2014,38.2920147833,34.3927386622,94.8706299096,38.1095449577,21.5964063404
2015,44.9111199168,39.1777385444,93.5232515932,43.7452426929,4.1700716516
